Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,78.36,78.5,77.54,78.37,11529800,63.41,0.0,63.41,63.41
2016-01-05,2016,1,5,Tuesday,01,2016-01,78.44,78.96,78.21,78.62,8133700,63.62,0.0031903776261736905,63.515,63.515
2016-01-06,2016,1,6,Wednesday,01,2016-01,77.67,78.29,77.12,77.86,9551000,63.0,-0.009667160156721533,63.343333333333334,63.343333333333334
2016-01-07,2016,1,7,Thursday,01,2016-01,76.85,77.6,76.07,77.18,11973900,62.45,-0.008733627627080298,63.12,63.12
2016-01-08,2016,1,8,Friday,01,2016-01,77.36,77.48,75.67,75.97,9676400,61.47,-0.015677471764565243,62.79,62.79
2016-01-11,2016,1,11,Monday,02,2016-02,76.17,77.04,75.6,76.67,10209200,62.04,0.009213960897339168,62.665,62.665
2016-01-12,2016,1,12,Tuesday,02,2016-02,77.0,77.02,75.75,76.51,8774700,61.91,-0.00208659896052521,62.55714285714286,62.55714285714286
2016-01-13,2016,1,13,Wednesday,02,2016-02,76.97,76.99,75.79,75.85,9310100,61.37,-0.008626650713227879,62.40875,62.40875
2016-01-14,2016,1,14,Thursday,02,2016-02,76.1,76.95,75.88,76.15,12835100,61.62,0.003955337387103075,62.32111111111111,62.32111111111111
2016-01-15,2016,1,15,Friday,02,2016-02,74.5,75.68,74.47,74.98,17023900,60.67,-0.015364528033688818,62.15599999999999,62.15599999999999
2016-01-19,2016,1,19,Tuesday,03,2016-03,75.8,76.91,75.72,76.73,13457300,62.09,0.023339394985800732,62.15,62.15
2016-01-20,2016,1,20,Wednesday,03,2016-03,75.29,76.09,74.46,75.83,17795000,61.89,-0.003115531811148431,62.12833333333333,62.12833333333333
2016-01-21,2016,1,21,Thursday,03,2016-03,76.02,77.18,75.41,76.72,12712900,62.62,0.011736568207585396,62.16615384615385,62.16615384615385
2016-01-22,2016,1,22,Friday,03,2016-03,77.4,77.97,76.55,77.36,9465800,63.14,0.008342415832478967,62.23571428571428,62.23571428571428
2016-01-25,2016,1,25,Monday,04,2016-04,77.2,77.36,76.56,76.85,9870400,62.73,-0.006592895257745646,62.18714285714286,62.26866666666667
2016-01-26,2016,1,26,Tuesday,04,2016-04,78.0,79.58,77.54,78.81,16374800,64.33,0.02550427732995364,62.237857142857145,62.3975
2016-01-27,2016,1,27,Wednesday,04,2016-04,78.53,79.85,78.15,78.8,10816100,64.32,-0.00012679056085196372,62.332142857142856,62.51058823529412
2016-01-28,2016,1,28,Thursday,04,2016-04,79.4,80.0,78.61,79.82,9895100,65.15,0.012944004133730314,62.52499999999999,62.65722222222222
2016-01-29,2016,1,29,Friday,04,2016-04,79.98,82.0,79.83,81.69,19895000,66.68,0.023427741783321743,62.89714285714285,62.868947368421054
2016-02-01,2016,2,1,Monday,05,2016-05,81.21,81.4,80.53,81.12,9657200,66.21,-0.006977533985999429,63.195,63.036
2016-02-02,2016,2,2,Tuesday,05,2016-05,80.09,80.54,79.81,80.22,9116400,65.48,-0.011094498899849148,63.449999999999996,63.15238095238095
2016-02-03,2016,2,3,Wednesday,05,2016-05,80.48,81.24,80.02,81.1,10149600,66.19,0.010969494200294028,63.794285714285714,63.29045454545454
2016-02-04,2016,2,4,Thursday,05,2016-05,80.85,81.1,80.33,80.7,8295100,65.87,-0.004931759405657821,64.09785714285714,63.40260869565218
2016-02-05,2016,2,5,Friday,05,2016-05,80.58,81.2,80.57,81.2,9957600,66.28,0.006195455453658294,64.49857142857142,63.5225
2016-02-08,2016,2,8,Monday,06,2016-06,80.29,82.72,80.29,82.62,16530200,67.43,0.01748803055815107,64.88000000000001,63.6788
2016-02-09,2016,2,9,Tuesday,06,2016-06,81.83,83.0,81.02,82.64,14308900,67.45,0.0002417740809586011,65.27714285714286,63.823846153846155
2016-02-10,2016,2,10,Wednesday,06,2016-06,82.91,83.0,81.46,81.62,10585400,66.62,-0.012342541262737483,65.56285714285714,63.92740740740741
