Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500,175.91,0.0,175.91,175.91
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800,176.21,0.0016914683636866101,176.06,176.06
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600,173.98,-0.012614278990764172,175.36666666666667,175.36666666666667
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100,169.81,-0.023991701305949742,173.9775,173.9775
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200,167.95,-0.01097655830196409,172.772,172.772
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300,168.11,0.0009899549913909844,171.995,171.995
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500,169.47,0.008068558833494777,171.6342857142857,171.6342857142857
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900,165.24,-0.024940952708864206,170.835,170.835
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600,167.96,0.0164168686409496,170.51555555555558,170.51555555555558
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400,164.35,-0.021465807672170434,169.899,169.899
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400,164.57,0.0013310919763480644,169.41454545454545,169.41454545454545
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800,162.46,-0.012815162417584958,168.835,168.835
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900,163.37,0.005602246421261947,168.4146153846154,168.4146153846154
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600,166.72,0.020515053014833917,168.29357142857143,168.29357142857143
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700,164.2,-0.015116316423724685,167.45714285714286,168.02066666666667
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800,166.44,0.013642833061428217,166.7592857142857,167.921875
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700,164.63,-0.010883284805902504,166.0914285714286,167.72823529411767
2016-01-28,2016,1,28,Thursday,04,2016-04,189.96,190.2,187.16,189.11,143798800,165.49,0.00520918777526358,165.78285714285715,167.6038888888889
2016-01-29,2016,1,29,Friday,04,2016-04,190.02,193.88,189.88,193.72,210529300,169.52,0.024377503882057283,165.89499999999998,167.70473684210526
2016-02-01,2016,2,1,Monday,05,2016-05,192.53,194.58,191.84,193.65,136061600,169.46,-0.00036166290407035895,165.99142857142857,167.7925
2016-02-02,2016,2,2,Tuesday,05,2016-05,191.96,191.97,189.54,190.16,182564900,166.41,-0.018021794967032934,165.77285714285716,167.7266666666667
